seed,wind,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
2,1.5,straight,Vector Field,18.691839026813433,54.0,2,20.321846168938013,0.17491648476740418,64.11960132890366
2,1.5,straight,Nonlinear Stabilization,33.32030338884446,33.0,10,1.1292117868068505,0.1966443211805199,19.93355481727575
2,1.5,straight,Proposed AI,23.76591007750011,53.5,2,22.659162415923383,0.1995123870465089,33.5548172757475
2,1.5,circle,Pure Pursuit,22.517974340198496,18.0,9,4.65241566888074,0.19706846651629253,33.5548172757475
2,1.5,circle,Line of Sight,21.130903098825602,25.0,9,5.535276000517739,0.2005138795463929,32.89036544850498
2,1.5,circle,Vector Field,20.27852787274773,13.5,6,2.4720264793793447,0.21189945296244966,42.857142857142854
2,1.5,circle,Nonlinear Stabilization,22.294640935030003,15.0,15,1.0068933565606937,0.19449235861889155,31.893687707641195
2,1.5,circle,Proposed AI,23.681565767279213,23.5,4,1.0496991634768964,0.17569870388157124,38.87043189368771
2,1.5,polyline,Pure Pursuit,18.766952179411955,0.5,9,0.8331747835676495,0.20549737395333062,45.84717607973422
2,1.5,polyline,Line of Sight,17.687262529452813,12.0,5,2.0725588892401987,0.1813745564268139,45.84717607973422
2,1.5,polyline,Vector Field,18.652695256943243,20.5,4,10.029996703730617,0.19041877487764133,48.17275747508305
2,1.5,polyline,Nonlinear Stabilization,21.179582946527386,21.5,8,7.940212747334645,0.18095408539807833,40.53156146179402
2,1.5,polyline,Proposed AI,22.816529017173274,21.0,6,5.094335557846716,0.18940554295994672,36.87707641196013
2,3.0,straight,Pure Pursuit,38.98165347852308,7.5,6,6.906734484214589,0.3929985032105735,17.60797342192691
2,3.0,straight,Line of Sight,37.22222096291635,10.0,6,12.137784268546744,0.35228556002196576,20.59800664451827
2,3.0,straight,Vector Field,39.03912770839443,84.0,5,13.349327541757896,0.3954056132906631,17.275747508305646
2,3.0,straight,Nonlinear Stabilization,44.837078182975425,0.0,8,16.058148154416575,0.4130229027967679,9.634551495016613
2,3.0,straight,Proposed AI,44.29202792800155,0.0,8,14.213808264354068,0.3945452324005188,8.970099667774086
2,3.0,circle,Pure Pursuit,24.335755722672307,26.0,11,3.2432542698494666,0.36591072396763547,32.55813953488372
2,3.0,circle,Line of Sight,21.076111186446823,18.5,10,4.4134800028455565,0.4148247818080292,40.19933554817276
2,3.0,circle,Vector Field,25.20977570323231,17.0,10,3.7581438506839193,0.40428856712297495,26.578073089701
2,3.0,circle,Nonlinear Stabilization,19.6152631404461,28.5,11,12.460657204204182,0.4277597281600037,43.18936877076412
2,3.0,circle,Proposed AI,21.70372910352588,32.5,13,6.134432121685467,0.39918931143273334,26.910299003322258
2,3.0,polyline,Pure Pursuit,22.63348681799035,7.5,8,6.906734484214589,0.3480464046781152,35.21594684385382
2,3.0,polyline,Line of Sight,12.176515016597882,10.0,6,16.926164810144215,0.4315379129417285,57.80730897009967
2,3.0,polyline,Vector Field,22.091639398208514,24.0,3,23.57331498371961,0.40410947603871095,45.51495016611295
2,3.0,polyline,Nonlinear Stabilization,23.138299267742024,28.5,6,12.7792557764931,0.3424881165985842,30.89700996677741
2,3.0,polyline,Proposed AI,26.368856919380697,31.5,3,25.89052604433328,0.38539172208550526,32.22591362126246
