seed,sigma,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
2,1.0,straight,Vector Field,24.83915861224126,21.5,6,3.0945851058071288,0.14893492798097396,28.903654485049834
2,1.0,straight,Nonlinear Stabilization,21.18015834941387,3.0,7,2.671546283222108,0.16237840700232853,32.55813953488372
2,1.0,straight,Proposed AI,29.23802349883387,42.5,6,5.845521602875707,0.14533842372232822,24.58471760797342
2,1.0,circle,Pure Pursuit,17.06322000147114,8.5,8,1.0497356582425006,0.15854648731465262,42.19269102990033
2,1.0,circle,Line of Sight,18.91707244277476,2.5,8,5.841626971725274,0.1548223110023336,38.53820598006645
2,1.0,circle,Vector Field,21.012931472283277,17.0,5,21.909523618793912,0.13136023393738772,43.18936877076412
2,1.0,circle,Nonlinear Stabilization,18.772566628715005,16.5,6,8.122946349853311,0.15085009040005667,40.19933554817276
2,1.0,circle,Proposed AI,25.46400394133749,22.5,7,13.371803368712019,0.16285637191950428,21.59468438538206
2,1.0,polyline,Pure Pursuit,20.031584079906885,15.5,13,6.873423630682785,0.15670507845088857,38.53820598006645
2,1.0,polyline,Line of Sight,11.46448038197685,10.5,7,0.7037238706549651,0.15778884131154566,52.49169435215947
2,1.0,polyline,Vector Field,21.060761949481428,21.5,5,7.51432546709756,0.14539321840153246,35.880398671096344
2,1.0,polyline,Nonlinear Stabilization,16.421966005799316,3.0,5,10.47216268260338,0.13828858490305773,47.840531561461795
2,1.0,polyline,Proposed AI,20.81850987366283,20.5,4,5.561451203837774,0.11036991899539332,49.83388704318937
2,1.5,straight,Pure Pursuit,29.9191392812762,44.5,16,4.104661322305413,0.15385067136077613,27.57475083056478
2,1.5,straight,Line of Sight,11.85939322260472,14.5,13,1.9618279640908458,0.15591298683980015,51.162790697674424
2,1.5,straight,Vector Field,26.070158156818437,16.0,10,4.360590697221204,0.16002596850884554,29.900332225913623
2,1.5,straight,Nonlinear Stabilization,23.80797107074069,13.5,9,5.247555953387749,0.15302498836318607,33.5548172757475
2,1.5,straight,Proposed AI,24.15644671730959,22.0,5,6.639046276952571,0.13367829650076435,33.222591362126245
2,1.5,circle,Pure Pursuit,16.583117591509723,9.0,12,3.7585910554442847,0.16160088525597524,42.857142857142854
2,1.5,circle,Line of Sight,22.631374145187426,2.5,13,5.781121185359691,0.12560757500969125,33.88704318936877
2,1.5,circle,Vector Field,20.202493850226045,17.0,5,8.988566009856235,0.13970456267739728,44.85049833887043
2,1.5,circle,Nonlinear Stabilization,19.14374753617947,15.0,8,7.821519818468552,0.1530765185197132,41.19601328903654
2,1.5,circle,Proposed AI,22.139101231925885,19.0,6,13.052554547871608,0.13981950798739903,34.55149501661129
